SUID,cooc_method,interaction,interactionType,Label,method_number,method_scores,methodname_interactiontype,methodname_pval,methodname_score,name,nulldistribmean,nulldistribmedian,nulldistribsd,oriScore,pval,pval-simes-merge,qval,randdistribMean,randdistribMedian,randdistribNumNonNaNScores,randdistribSD,selected,shared interaction,shared name,weight
7940,correl_spearman|correl_pearson|dist_kullbackleibler|dist_bray,,copresence,DW01142->DW01102,4,0.9756358743034762|0.930234899218915|0.09656271159655025|0.11548580902611982,correl_spearman=copresence|correl_pearson=copresence|dist_kullbackleibler=copresence|dist_bray=copresence,correl_spearman=0.0|correl_pearson=5.340172748447003E-14|dist_kullbackleibler=0.0|dist_bray=3.4049870325292275E-5,correl_spearman=0.9756358743034762|correl_pearson=0.930234899218915|dist_kullbackleibler=0.09656271159655025|dist_bray=0.11548580902611982,DW01142->DW01102,-0.00159612,-0.002164435,0.074910871,0.975635874,0,0,0,0.9739587133430418|0.9315866270992851|0.09545480581566419|0.1146705380704456,0.9745205543158446|0.9322569143055304|0.09506720918328476|0.11434928460722327,1000.0|1000.0|1000.0|1000.0,0.00510171942497929|0.015711483121762508|0.01725879289702682|0.015034496057653338,FALSE,,DW01142->DW01102,0
7979,dist_kullbackleibler|correl_pearson|correl_spearman|dist_bray,,copresence,DW01132->DW01177,4,0.1682232408372504|0.9209219013545898|0.9580084384520747|0.1168442089541224,dist_kullbackleibler=copresence|correl_pearson=copresence|correl_spearman=copresence|dist_bray=copresence,dist_kullbackleibler=0.0|correl_pearson=1.5039433531871538E-8|correl_spearman=0.0|dist_bray=1.2050300856381035E-4,dist_kullbackleibler=0.1682232408372504|correl_pearson=0.9209219013545898|correl_spearman=0.9580084384520747|dist_bray=0.1168442089541224,DW01132->DW01177,5.257534853,5.263027255,0.523035304,0.168223241,0,0,0,0.16809561842861165|0.9196088507622159|0.9563644348136505|0.11667555924212875,0.16411377335437172|0.9217408565647206|0.9574146513332398|0.11650101129906615,1000.0|1000.0|1000.0|1000.0,0.0485240243389333|0.027726122256355856|0.012231423398486051|0.021522898415893395,FALSE,,DW01132->DW01177,0
8042,dist_kullbackleibler|dist_bray|correl_pearson|correl_spearman,,copresence,DW01235->DW01225,4,0.11879302645319385|0.14196590247919283|0.9286503500383773|0.9805409196012284,dist_kullbackleibler=copresence|dist_bray=copresence|correl_pearson=copresence|correl_spearman=copresence,dist_kullbackleibler=0.0|dist_bray=4.565774236686693E-6|correl_pearson=1.635247492970393E-12|correl_spearman=0.0,dist_kullbackleibler=0.11879302645319385|dist_bray=0.14196590247919283|correl_pearson=0.9286503500383773|correl_spearman=0.9805409196012284,DW01235->DW01225,6.418541113,6.416690325,0.677986868,0.118793026,0,0,0,0.11524826957638103|0.13839507070617768|0.933674270513616|0.9795580377326508,0.11558942899125868|0.13813518917841328|0.9338707046257061|0.9801082924067825,1000.0|1000.0|1000.0|1000.0,0.025710525598726663|0.0200875228880487|0.018009314219150703|0.0059046070899974965,FALSE,,DW01235->DW01225,0
8101,dist_kullbackleibler|dist_bray|correl_spearman|correl_pearson,,copresence,DW01178->DW01202,4,0.13369320204201748|0.075944100061623|0.9587856983583903|0.9660311563475408,dist_kullbackleibler=copresence|dist_bray=copresence|correl_spearman=copresence|correl_pearson=copresence,dist_kullbackleibler=0.0|dist_bray=1.1234346786181959E-8|correl_spearman=1.1102230246251565E-16|correl_pearson=1.6653345369377348E-16,dist_kullbackleibler=0.13369320204201748|dist_bray=0.075944100061623|correl_spearman=0.9587856983583903|correl_pearson=0.9660311563475408,DW01178->DW01202,5.016077926,5.01871017,0.492194133,0.133693202,0,0,0,0.13397861716976375|0.07610299603270114|0.9572219126931673|0.9658165758361378,0.12471904903507058|0.07552129720796907|0.9588688988196947|0.9676691309550275,1000.0|1000.0|1000.0|1000.0,0.060006976188009195|0.009836591337585705|0.013611850877027269|0.014071295685769751,FALSE,,DW01178->DW01202,0
8102,correl_spearman|dist_kullbackleibler|correl_pearson|dist_bray,,copresence,DW01233->DW01138,4,0.9658523179561049|0.10047144996579674|0.9335357195172113|0.1080735255469174,correl_spearman=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence|dist_bray=copresence,correl_spearman=0.0|dist_kullbackleibler=0.0|correl_pearson=5.170031069923198E-12|dist_bray=4.140474811897832E-7,correl_spearman=0.9658523179561049|dist_kullbackleibler=0.10047144996579674|correl_pearson=0.9335357195172113|dist_bray=0.1080735255469174,DW01233->DW01138,0.003152481,0.00305902,0.071550648,0.965852318,0,0,0,0.9636930312129551|0.09957965689247038|0.9361702700940682|0.10809681445970576,0.9641207027497722|0.09873480446166819|0.9373126493203012|0.10751521507594425,1000.0|1000.0|1000.0|1000.0,0.005638527376195422|0.01713989250703983|0.01895099237959253|0.011148994781157886,FALSE,,DW01233->DW01138,0
8122,dist_kullbackleibler|dist_bray|correl_spearman|correl_pearson,,copresence,DW00423->DW00424,4,0.05426118841063572|0.0797516282496159|0.9730829005723819|0.9910133362893649,dist_kullbackleibler=copresence|dist_bray=copresence|correl_spearman=copresence|correl_pearson=copresence,dist_kullbackleibler=0.0|dist_bray=1.6695056448412515E-10|correl_spearman=0.0|correl_pearson=0.0,dist_kullbackleibler=0.05426118841063572|dist_bray=0.0797516282496159|correl_spearman=0.9730829005723819|correl_pearson=0.9910133362893649,DW00423->DW00424,9.02129949,9.10919758,1.000170961,0.054261188,0,0,0,0.05544884863263544|0.08217265496830352|0.9717240663862494|0.9918747064967155,0.0533825525982598|0.0814529725989469|0.9728052467539345|0.9922400187957257,1000.0|1000.0|1000.0|1000.0,0.01434554196877409|0.016344557381161216|0.007318837216250352|0.003846643881867766,FALSE,,DW00423->DW00424,0
8128,correl_spearman|correl_pearson|dist_bray|dist_kullbackleibler,,copresence,DW01132->DW01139,4,0.9592145095865253|0.9600654643096954|0.08801609740642746|0.10805382253531866,correl_spearman=copresence|correl_pearson=copresence|dist_bray=copresence|dist_kullbackleibler=copresence,correl_spearman=0.0|correl_pearson=2.0650148258027912E-14|dist_bray=7.03401139556803E-8|dist_kullbackleibler=0.0,correl_spearman=0.9592145095865253|correl_pearson=0.9600654643096954|dist_bray=0.08801609740642746|dist_kullbackleibler=0.10805382253531866,DW01132->DW01139,0.001906846,0.001426365,0.071360058,0.95921451,0,0,0,0.9573423328701681|0.9598454099432632|0.0886179372246472|0.10860891106156215,0.9585673151076305|0.9617550242930479|0.08783586744081745|0.10648947562001551,1000.0|1000.0|1000.0|1000.0,0.011006656425570673|0.0161731730967263|0.011456589490948774|0.027060613340043067,FALSE,,DW01132->DW01139,0
8141,correl_spearman|dist_kullbackleibler|correl_pearson|dist_bray,,copresence,DW01230->DW01235,4,0.9721390394602178|0.0779183879026479|0.9732424412198778|0.11104346760317152,correl_spearman=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence|dist_bray=copresence,correl_spearman=0.0|dist_kullbackleibler=0.0|correl_pearson=0.0|dist_bray=1.0606558964454393E-9,correl_spearman=0.9721390394602178|dist_kullbackleibler=0.0779183879026479|correl_pearson=0.9732424412198778|dist_bray=0.11104346760317152,DW01230->DW01235,-0.001215714,-9.50E-04,0.075937673,0.972139039,0,0,0,0.9706986491351363|0.07581785191614182|0.9749947761030087|0.10903593589076918,0.9718073188415697|0.07560751420847334|0.9754351597607815|0.10907044904636959,1000.0|1000.0|1000.0|1000.0,0.008284660312131181|0.01235233715346777|0.005921760777624513|0.013274784798898516,FALSE,,DW01230->DW01235,0
8182,correl_pearson|dist_kullbackleibler|correl_spearman|dist_bray,,copresence,DW01244->DW01178,4,0.9594952904323696|0.10174838774480573|0.9662860146843079|0.08277168013895098,correl_pearson=copresence|dist_kullbackleibler=copresence|correl_spearman=copresence|dist_bray=copresence,correl_pearson=1.532107773982716E-14|dist_kullbackleibler=0.0|correl_spearman=0.0|dist_bray=7.802804180556677E-8,correl_pearson=0.9594952904323696|dist_kullbackleibler=0.10174838774480573|correl_spearman=0.9662860146843079|dist_bray=0.08277168013895098,DW01244->DW01178,9.91E-04,-0.002764485,0.072401964,0.95949529,0,0,0,0.9594200167760428|0.1021190557004022|0.9646737627348274|0.08275855851494097,0.9616322130871485|0.09838182348714514|0.965212436499296|0.08185639604150513,1000.0|1000.0|1000.0|1000.0,0.01592068120029928|0.03243101357861788|0.010653053166885694|0.011397983018478414,FALSE,,DW01244->DW01178,0
8197,dist_bray|correl_spearman|dist_kullbackleibler|correl_pearson,,copresence,DW01202->DW01139,4,0.11092451811552384|0.9650279447934196|0.14293433148159673|0.9307380395228594,dist_bray=copresence|correl_spearman=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence,dist_bray=1.1039341580199036E-5|correl_spearman=0.0|dist_kullbackleibler=0.0|correl_pearson=7.82548470468214E-11,dist_bray=0.11092451811552384|correl_spearman=0.9650279447934196|dist_kullbackleibler=0.14293433148159673|correl_pearson=0.9307380395228594,DW01202->DW01139,0.638265312,0.639123305,0.030197043,0.110924518,0,0,0,0.1112388796149387|0.9633529639139436|0.14334011466578028|0.9318240321027427,0.11061453384448688|0.963935372976949|0.1398201664073878|0.9342301409319962,1000.0|1000.0|1000.0|1000.0,0.015430063764723273|0.00801404994827801|0.037169604727480814|0.021388047482430908,FALSE,,DW01202->DW01139,0
