SUID,abundance,degree,Label,name,negdegree,oriID,posdegree,samplecount,selected,shared name,unknowndegree
7906,19.7077136,22,DW01178,DW01178,1,DW01178,21,175,FALSE,DW01178,0
7934,27.87090717,20,DW01233,DW01233,0,DW01233,20,185,FALSE,DW01233,0
7947,21.48009835,20,DW01231,DW01231,0,DW01231,20,183,FALSE,DW01231,0
7950,29.35312796,20,DW01139,DW01139,2,DW01139,18,174,FALSE,DW01139,0
7958,23.41152658,19,DW01202,DW01202,1,DW01202,18,182,FALSE,DW01202,0
7945,42.31469427,18,DW01177,DW01177,0,DW01177,18,178,FALSE,DW01177,0
7948,21.18254177,18,DW01145,DW01145,0,DW01145,18,184,FALSE,DW01145,0
7985,20.72206418,18,DW01138,DW01138,0,DW01138,18,185,FALSE,DW01138,0
7933,24.5635808,17,DW01155,DW01155,0,DW01155,17,184,FALSE,DW01155,0
7917,35.68208119,16,DW01103,DW01103,0,DW01103,16,183,FALSE,DW01103,0
8131,26.66594904,16,DW01244,DW01244,0,DW01244,16,182,FALSE,DW01244,0
7908,25.68286452,15,DW01232,DW01232,0,DW01232,15,185,FALSE,DW01232,0
7915,24.27429275,15,DW01104,DW01104,0,DW01104,15,179,FALSE,DW01104,0
7973,32.14765189,15,DW01228,DW01228,0,DW01228,15,183,FALSE,DW01228,0
8133,25.71661127,14,DW01243,DW01243,0,DW01243,14,183,FALSE,DW01243,0
7936,31.89567159,13,DW01176,DW01176,0,DW01176,13,185,FALSE,DW01176,0
8173,38.60600327,13,DW00384,DW00384,1,DW00384,12,183,FALSE,DW00384,0
8305,12.83704987,13,DW01220,DW01220,0,DW01220,13,185,FALSE,DW01220,0
8014,18.35529614,12,DW01108,DW01108,0,DW01108,12,185,FALSE,DW01108,0
8139,59.42951157,12,DW01230,DW01230,0,DW01230,12,185,FALSE,DW01230,0
7975,59.29263627,11,DW01132,DW01132,0,DW01132,11,184,FALSE,DW01132,0
8006,1013.556022,11,DW00626,DW00626,10,DW00626,1,184,FALSE,DW00626,0
8050,33.83148896,11,DW00850,DW00850,1,DW00850,10,176,FALSE,DW00850,0
8072,408.6611777,11,DW00270,DW00270,11,DW00270,0,185,FALSE,DW00270,0
8130,16.53477138,11,DW01166,DW01166,0,DW01166,11,185,FALSE,DW01166,0
8165,35.180684,11,DW00394,DW00394,0,DW00394,11,178,FALSE,DW00394,0
7942,55.70843639,10,DW00400,DW00400,0,DW00400,10,180,FALSE,DW00400,0
8041,42.0723946,10,DW01225,DW01225,0,DW01225,10,185,FALSE,DW01225,0
8063,34.26626506,10,DW01234,DW01234,0,DW01234,10,184,FALSE,DW01234,0
8078,120.0693706,10,DW00426,DW00426,0,DW00426,10,185,FALSE,DW00426,0
8088,82.67379371,10,DW01282,DW01282,2,DW01282,8,178,FALSE,DW01282,0
8121,177.9792912,10,DW00424,DW00424,0,DW00424,10,185,FALSE,DW00424,0
7893,227.2201515,9,DW00520,DW00520,8,DW00520,1,185,FALSE,DW00520,0
7952,56.98231276,9,DW00853,DW00853,0,DW00853,9,184,FALSE,DW00853,0
7955,66.45216964,9,DW00388,DW00388,0,DW00388,9,176,FALSE,DW00388,0
8003,33.09923693,9,DW01236,DW01236,1,DW01236,8,174,FALSE,DW01236,0
8048,84.67023079,9,DW00988,DW00988,0,DW00988,9,185,FALSE,DW00988,0
8052,404.89717,9,DW00462,DW00462,4,DW00462,5,185,FALSE,DW00462,0
8055,18.980783,9,DW01169,DW01169,0,DW01169,9,185,FALSE,DW01169,0
8069,434.8982479,9,DW00428,DW00428,4,DW00428,5,185,FALSE,DW00428,0
8117,118.3466547,9,DW00427,DW00427,0,DW00427,9,185,FALSE,DW00427,0
8221,196.8028103,9,DW00440,DW00440,0,DW00440,9,185,FALSE,DW00440,0
8410,35.28887255,9,DW00704,DW00704,0,DW00704,9,183,FALSE,DW00704,0
7899,62.96484243,8,DW00395,DW00395,0,DW00395,8,184,FALSE,DW00395,0
7900,61.5842295,8,DW00377,DW00377,0,DW00377,8,184,FALSE,DW00377,0
7909,32.17108368,8,DW00684,DW00684,0,DW00684,8,185,FALSE,DW00684,0
7943,54.66683715,8,DW00856,DW00856,0,DW00856,8,184,FALSE,DW00856,0
7988,13.86823115,8,DW01219,DW01219,0,DW01219,8,182,FALSE,DW01219,0
8010,66.35361845,8,DW01252,DW01252,0,DW01252,8,185,FALSE,DW01252,0
8031,14.46505197,8,DW01122,DW01122,0,DW01122,8,185,FALSE,DW01122,0
8039,89.39553557,8,DW00392,DW00392,0,DW00392,8,185,FALSE,DW00392,0
8073,527.8519673,8,DW00479,DW00479,4,DW00479,4,185,FALSE,DW00479,0
7891,2595.033473,7,DW00345,DW00345,7,DW00345,0,185,FALSE,DW00345,0
7894,36.91521555,7,DW00401,DW00401,1,DW00401,6,177,FALSE,DW00401,0
7905,26.62165195,7,DW01240,DW01240,0,DW01240,7,184,FALSE,DW01240,0
7928,644.8275247,7,DW00627,DW00627,6,DW00627,1,184,FALSE,DW00627,0
7931,548.5611238,7,DW01046,DW01046,7,DW01046,0,185,FALSE,DW01046,0
7954,79.78454732,7,DW00808,DW00808,1,DW00808,6,180,FALSE,DW00808,0
7960,32.3685882,7,DW00242,DW00242,0,DW00242,7,183,FALSE,DW00242,0
8002,54.7545037,7,DW01235,DW01235,0,DW01235,7,184,FALSE,DW01235,0
8057,38.58593005,7,DW01269,DW01269,0,DW01269,7,185,FALSE,DW01269,0
7914,17.38599009,6,DW01179,DW01179,0,DW01179,6,184,FALSE,DW01179,0
7919,676.3391335,6,DW00271,DW00271,6,DW00271,0,185,FALSE,DW00271,0
7920,1433.574178,6,DW00762,DW00762,6,DW00762,0,185,FALSE,DW00762,0
7969,29.41582233,6,DW01297,DW01297,0,DW01297,6,185,FALSE,DW01297,0
8068,2815.320144,6,DW00796,DW00796,6,DW00796,0,185,FALSE,DW00796,0
8086,34.85259044,6,DW01256,DW01256,0,DW01256,6,185,FALSE,DW01256,0
8170,210.9778844,6,DW00989,DW00989,0,DW00989,6,185,FALSE,DW00989,0
8297,39.08440326,6,DW00807,DW00807,0,DW00807,6,175,FALSE,DW00807,0
7925,475.5312078,5,DW00477,DW00477,0,DW00477,5,185,FALSE,DW00477,0
7926,241.8270042,5,DW00347,DW00347,0,DW00347,5,185,FALSE,DW00347,0
7929,976.6168915,5,DW00098,DW00098,5,DW00098,0,185,FALSE,DW00098,0
7939,25.52780764,5,DW01102,DW01102,0,DW01102,5,185,FALSE,DW01102,0
7965,88.1426897,5,DW00672,DW00672,0,DW00672,5,185,FALSE,DW00672,0
7971,67.847846,5,DW01287,DW01287,0,DW01287,5,185,FALSE,DW01287,0
7991,22.8594473,5,DW01197,DW01197,0,DW01197,5,185,FALSE,DW01197,0
8016,27.26542741,5,DW01118,DW01118,0,DW01118,5,185,FALSE,DW01118,0
8060,52.35810599,5,DW00813,DW00813,0,DW00813,5,184,FALSE,DW00813,0
8158,168.2569404,5,DW00978,DW00978,4,DW00978,1,185,FALSE,DW00978,0
8235,45.08105514,5,DW00701,DW00701,0,DW00701,5,184,FALSE,DW00701,0
8304,16.04468638,5,DW01198,DW01198,0,DW01198,5,185,FALSE,DW01198,0
7962,44.92036951,4,DW01164,DW01164,0,DW01164,4,185,FALSE,DW01164,0
7968,26.02279214,4,DW01293,DW01293,0,DW01293,4,184,FALSE,DW01293,0
7987,19.45907399,4,DW01199,DW01199,0,DW01199,4,185,FALSE,DW01199,0
8000,49.45860023,4,DW00703,DW00703,0,DW00703,4,185,FALSE,DW00703,0
8022,26.27276397,4,DW01281,DW01281,0,DW01281,4,184,FALSE,DW01281,0
8043,28.2873509,4,DW01147,DW01147,0,DW01147,4,179,FALSE,DW01147,0
8047,90.2074038,4,DW00778,DW00778,0,DW00778,4,185,FALSE,DW00778,0
8075,47.93451029,4,DW00391,DW00391,0,DW00391,4,185,FALSE,DW00391,0
8111,394.5985468,4,DW00463,DW00463,3,DW00463,1,185,FALSE,DW00463,0
8116,113.2423026,4,DW00423,DW00423,0,DW00423,4,185,FALSE,DW00423,0
8346,22.25794306,4,DW01168,DW01168,0,DW01168,4,185,FALSE,DW01168,0
8423,204.3112574,4,DW00425,DW00425,0,DW00425,4,185,FALSE,DW00425,0
7938,23.40858289,3,DW01142,DW01142,0,DW01142,3,185,FALSE,DW01142,0
7977,112.7143243,3,DW00812,DW00812,0,DW00812,3,185,FALSE,DW00812,0
8009,26.67141931,3,DW00826,DW00826,0,DW00826,3,184,FALSE,DW00826,0
8018,25.86166907,3,DW01153,DW01153,0,DW01153,3,178,FALSE,DW01153,0
8024,26.38133249,3,DW01146,DW01146,0,DW01146,3,179,FALSE,DW01146,0
8027,92.17220773,3,DW01254,DW01254,0,DW01254,3,185,FALSE,DW01254,0
8033,60.46690996,3,DW01212,DW01212,0,DW01212,3,185,FALSE,DW01212,0
8037,26.27605232,3,DW00963,DW00963,0,DW00963,3,185,FALSE,DW00963,0
8079,269.1085374,3,DW00329,DW00329,1,DW00329,2,185,FALSE,DW00329,0
8104,18.5939407,3,DW01127,DW01127,0,DW01127,3,184,FALSE,DW01127,0
8168,152.6210654,3,DW01190,DW01190,0,DW01190,3,185,FALSE,DW01190,0
8179,48.02697207,3,DW01223,DW01223,0,DW01223,3,185,FALSE,DW01223,0
8232,210.7027858,3,DW00445,DW00445,3,DW00445,0,185,FALSE,DW00445,0
8260,22.02870603,3,DW00127,DW00127,0,DW00127,3,185,FALSE,DW00127,0
8326,23.65968402,3,DW01152,DW01152,0,DW01152,3,180,FALSE,DW01152,0
8383,58.9290209,3,DW00589,DW00589,2,DW00589,1,179,FALSE,DW00589,0
8518,36.84193792,3,DW00393,DW00393,0,DW00393,3,180,FALSE,DW00393,0
7896,105.2866209,2,DW00573,DW00573,0,DW00573,2,185,FALSE,DW00573,0
7897,42.87232966,2,DW00499,DW00499,0,DW00499,2,185,FALSE,DW00499,0
7902,54.86018509,2,DW00691,DW00691,0,DW00691,2,185,FALSE,DW00691,0
7911,95.82376635,2,DW00333,DW00333,0,DW00333,2,185,FALSE,DW00333,0
7963,44.28935808,2,DW00576,DW00576,0,DW00576,2,185,FALSE,DW00576,0
7993,50.07006278,2,DW00289,DW00289,0,DW00289,2,185,FALSE,DW00289,0
7997,27.75620002,2,DW01216,DW01216,0,DW01216,2,185,FALSE,DW01216,0
8005,146.5246368,2,DW00570,DW00570,2,DW00570,0,185,FALSE,DW00570,0
8013,20.29739473,2,DW01158,DW01158,0,DW01158,2,185,FALSE,DW01158,0
8019,35.46827181,2,DW01148,DW01148,0,DW01148,2,180,FALSE,DW01148,0
8107,27.84876317,2,DW01038,DW01038,0,DW01038,2,184,FALSE,DW01038,0
8145,18.93909555,2,DW01183,DW01183,0,DW01183,2,184,FALSE,DW01183,0
8155,272.4373421,2,DW01094,DW01094,2,DW01094,0,185,FALSE,DW01094,0
8184,24.80816617,2,DW01203,DW01203,0,DW01203,2,185,FALSE,DW01203,0
8185,26.5562768,2,DW00679,DW00679,0,DW00679,2,184,FALSE,DW00679,0
8225,40.96690167,2,DW00640,DW00640,0,DW00640,2,184,FALSE,DW00640,0
8226,27.8847188,2,DW00655,DW00655,0,DW00655,2,185,FALSE,DW00655,0
8230,573.3013056,2,DW00403,DW00403,0,DW00403,2,185,FALSE,DW00403,0
8242,31.75155184,2,DW01157,DW01157,0,DW01157,2,183,FALSE,DW01157,0
8247,29.03364231,2,DW01263,DW01263,0,DW01263,2,185,FALSE,DW01263,0
8263,34.91665919,2,DW00641,DW00641,0,DW00641,2,185,FALSE,DW00641,0
8278,36.81557159,2,DW01283,DW01283,0,DW01283,2,185,FALSE,DW01283,0
8286,46.72709185,2,DW01161,DW01161,0,DW01161,2,185,FALSE,DW01161,0
8357,23.41224465,2,DW00151,DW00151,0,DW00151,2,185,FALSE,DW00151,0
8358,31.26669847,2,DW00146,DW00146,0,DW00146,2,184,FALSE,DW00146,0
8378,25.38929111,2,DW01186,DW01186,0,DW01186,2,185,FALSE,DW01186,0
8413,28.26009066,2,DW01129,DW01129,0,DW01129,2,184,FALSE,DW01129,0
