Genome	Domain	Phylum	Class	Order	Family	Genus	Species	Label
DW01015	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	CG10238-14	SCSR01			Aenigmatarchaeota
DW00801	Archaea	Altarchaeota	Altarchaeia	IMC4	QMZM01			Altarchaeota
DW01272	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosarchaeum		Thermoproteota
DW00997	Archaea	Thermoproteota	Nitrososphaeria	Caldarchaeales	Caldarchaeaceae	Caldarchaeum		Thermoproteota
DW01054	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium paragordonae	Actinobacteriota
DW00135	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium gordonae	Actinobacteriota
DW01141	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium pseudokansasii	Actinobacteriota
DW00774	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp002591975	Actinobacteriota
DW00171	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium phocaicum	Actinobacteriota
DW00723	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium llatzerense	Actinobacteriota
DW00717	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp002013415	Actinobacteriota
DW00033	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae	Actinobacteriota
DW00492	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium franklinii	Actinobacteriota
DW00016	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium immunogenum	Actinobacteriota
DW01004	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Gordonia	Gordonia sp002009645	Actinobacteriota
DW00331	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	Microbacterium testaceum_E	Actinobacteriota
DW00428	Bacteria	Actinobacteriota	Actinomycetia	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	Nanopelagicus sp003569185	Actinobacteriota
DW00440	Bacteria	Actinobacteriota	Actinomycetia	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	Nanopelagicus sp000294575	Actinobacteriota
DW00778	Bacteria	Actinobacteriota	Actinomycetia	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	Nanopelagicus sp000378865	Actinobacteriota
DW00479	Bacteria	Actinobacteriota	Actinomycetia	Nanopelagicales	Nanopelagicaceae	Planktophila	Planktophila vernalis	Actinobacteriota
DW00001	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus scotoductus	Deinococcota
DW00478	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Meiothermus	Meiothermus cerbereus	Deinococcota
DW00995	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium	Thermomicrobium sp002898255	Chloroflexota
DW00695	Bacteria	Cyanobacteria	Cyanobacteriia	PCC-6307	Cyanobiaceae	Synechococcus_D	Synechococcus_D lacustris	Cyanobacteria
DW00202	Bacteria	Cyanobacteria	Vampirovibrionia	Obscuribacterales	Obscuribacteraceae	Obscuribacter	Obscuribacter phosphatis	Cyanobacteria
DW00558	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp900187565	Gammaproteobacteria
DW00610	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E migulae	Gammaproteobacteria
DW01045	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp000282415	Gammaproteobacteria
DW00976	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E simiae	Gammaproteobacteria
DW00979	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E rhodesiae	Gammaproteobacteria
DW00357	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp002840155	Gammaproteobacteria
DW01128	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001465025	Gammaproteobacteria
DW00145	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E alcaligenes	Gammaproteobacteria
DW01018	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	Gammaproteobacteria
DW00499	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii	Gammaproteobacteria
DW00306	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella sp002786205	Gammaproteobacteria
DW00004	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	Gammaproteobacteria
DW00005	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella waltersii	Gammaproteobacteria
DW00303	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Tatlockia	Tatlockia drozanskii	Gammaproteobacteria
DW00003	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella_B	Legionella_B geestiana	Gammaproteobacteria
DW00323	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	WM-3-3	WM-3-3 sp002928995	Gammaproteobacteria
DW01085	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas	Methylomonas methanica_A	Gammaproteobacteria
DW01083	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas	Methylomonas sp002083615	Gammaproteobacteria
DW00325	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas	Methylomonas sp002928965	Gammaproteobacteria
DW00320	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas	Methylomonas sp002929135	Gammaproteobacteria
DW00360	Bacteria	Proteobacteria	Gammaproteobacteria	Ga0077554	Ga007554	Ga0077554	Ga0077554 sp005240065	Gammaproteobacteria
DW00742	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Nevskiaceae	Nevskia	Nevskia ramosa	Gammaproteobacteria
DW00461	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duganella	Duganella sp000335815	Gammaproteobacteria
DW00282	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hylemonella	Hylemonella sp003500955	Gammaproteobacteria
DW00865	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	PHCI01	PHCI01 sp002842205	Gammaproteobacteria
DW00038	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax sp900115375	Gammaproteobacteria
DW00899	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax_B	Acidovorax_B defluvii	Gammaproteobacteria
DW01171	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas sp003963075	Gammaproteobacteria
DW00482	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas puraquae	Gammaproteobacteria
DW00661	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	Rhizobacter sp001464195	Gammaproteobacteria
DW00057	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium	Aquabacterium commune	Gammaproteobacteria
DW01031	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	UBA3064	UBA3064 sp005787245	Gammaproteobacteria
DW00319	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylophilus	Methylophilus methylotrophus	Gammaproteobacteria
DW01227	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera_A	Methylotenera_A sp002083635	Gammaproteobacteria
DW00913	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera mobilis_B	Gammaproteobacteria
DW00313	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera sp002928535	Gammaproteobacteria
DW00989	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylopumilus	Methylopumilus universalis	Gammaproteobacteria
DW00863	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Methyloversatilis	Methyloversatilis discipulorum_A	Gammaproteobacteria
DW01143	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	66-26	66-26 sp001897745	Gammaproteobacteria
DW01150	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas sp000175095	Gammaproteobacteria
DW00627	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas sp002083595	Gammaproteobacteria
DW00626	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas oligotropha	Gammaproteobacteria
DW00450	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas sp002083395	Gammaproteobacteria
DW00002	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	Afipia birgiae	Alphaproteobacteria
DW00076	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	SG-bin9	SG-bin9 sp002083525	Alphaproteobacteria
DW01064	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	Methylobacterium organophilum	Alphaproteobacteria
DW00624	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	Bosea sp001556025	Alphaproteobacteria
DW00318	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocystis	Methylocystis rosea	Alphaproteobacteria
DW01027	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocystis	Methylocystis sp002412985	Alphaproteobacteria
DW00321	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	PAR1	PAR1 sp002928875	Alphaproteobacteria
DW00672	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phreatobacteraceae	Phreatobacter	Phreatobacter oligotrophus	Alphaproteobacteria
DW00345	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	UBA4765	UBA4765	UBA4765 sp002365175	Alphaproteobacteria
DW00796	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	UBA4765	UBA4765	UBA4765 sp002365175	Alphaproteobacteria
DW00312	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sp002928515	Alphaproteobacteria
DW00750	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sp002928395	Alphaproteobacteria
DW00061	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sp002928955	Alphaproteobacteria
DW00315	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sp002928735	Alphaproteobacteria
DW01041	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola	Tabrizicola sp003574395	Alphaproteobacteria
DW01163	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola	Tabrizicola sp002280405	Alphaproteobacteria
DW01042	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas mediterranea	Alphaproteobacteria
